title	year	director	cast	genre	notes
For Singles Only	1968	Arthur Dreifuss	"Mary Ann Mobley, Lana Wood, Milton Berle"	Romance	
Funny Girl	1968	William Wyler	"Barbra Streisand, Omar Sharif, Walter Pidgeon"	Musical	Oscar for Streisand; 8 nominations
Great Catherine	1968	Gordon Flemyng	"Peter O'Toole, Jeanne Moreau"	Drama	from a George Bernard Shaw play
The Green Berets	1968	"Ray Kellogg, John Wayne"	"John Wayne, David Janssen, Jim Hutton, Aldo Ray"	War	Warner Bros.; produced during Vietnam War
Greetings	1968	Brian De Palma	"Robert De Niro, Gerrit Graham"	Comedy	De Niro's first leading role
Hammerhead	1968	David Miller	"Vince Edwards, Diana Dors"	Spy	from James Mayo novel
Hang 'Em High	1968	Ted Post	"Clint Eastwood, Inger Stevens, Pat Hingle"	Western	Malpaso Company 1st film
Head	1968	Bob Rafelson	"The Monkees, Annette Funicello, Victor Mature"	"Comedy, Musical"	co-written by Jack Nicholson
The Heart Is a Lonely Hunter	1968	Robert Ellis Miller	"Alan Arkin, Chuck McCann, Sondra Locke"	Drama	from Carson McCullers novel; 2 Oscar nominations
Hell in the Pacific	1968	John Boorman	"Lee Marvin, Toshiro Mifune"	War	2-character film
Hellfighters	1968	Andrew V. McLaglen	"John Wayne, Katharine Ross, Jim Hutton"	Action	based on life of Red Adair
The Hell with Heroes	1968	Joseph Sargent	"Rod Taylor, Claudia Cardinale"	War	Universal
The Horse in the Gray Flannel Suit	1968	Norman Tokar	"Dean Jones, Diane Baker"	Family	Disney
Hot Millions	1968	Eric Till	"Peter Ustinov, Maggie Smith, Bob Newhart"	Comedy	co-written by Ustinov
House of Cards	1968	John Guillermin	"George Peppard, Orson Welles, Inger Stevens"	Mystery	Universal
House of Evil	1968	Jack Hill	"Boris Karloff, Julissa"	Horror	
How to Save a Marriage and Ruin Your Life	1968	Fielder Cook	"Dean Martin, Stella Stevens, Eli Wallach"	Comedy	Columbia
How Sweet It Is!	1968	Jerry Paris	"James Garner, Debbie Reynolds, Terry-Thomas"	Comedy	National General
"I Love You, Alice B. Toklas"	1968	Hy Averback	"Peter Sellers, Leigh Taylor-Young"	Comedy	Warner Bros.-Seven Arts
Ice Station Zebra	1968	John Sturges	"Rock Hudson, Patrick McGoohan, Ernest Borgnine, Jim Brown, Tony Bill, Lloyd Nolan"	Action	from Alistair MacLean novel; 2 Oscar nominations
